post_id,post_date,platform,hashtag,content_type,region,views,likes,shares,comments,engagement_level,age_group,locality
Post_1,2022-01-13,tiktok,challenge,video,uk,4163464,339431,53135,19346,high,18-24,Anna Nagar
Post_2,2022-05-13,instagram,education,shorts,india,4155940,215240,65860,27239,medium,50+,Adyar
Post_3,2022-01-07,twitter,challenge,video,brazil,3666211,327143,39423,36223,medium,35-50,T Nagar
Post_4,2022-12-05,youtube,education,shorts,australia,917951,127125,11687,36806,low,25-34,T Nagar
Post_5,2023-03-23,tiktok,dance,post,brazil,64866,171361,69581,6376,medium,18-24,Porur
Post_6,2022-11-23,instagram,challenge,shorts,australia,1323566,136282,86979,47129,low,18-24,Tambaram
Post_7,2022-06-09,youtube,comedy,tweet,japan,627233,84121,97973,32648,medium,13-17,Tambaram
Post_8,2022-01-14,youtube,gaming,shorts,uk,2066886,317502,45222,33638,high,35-50,T Nagar
Post_9,2022-09-01,twitter,education,live stream,india,2169523,496078,96041,30174,medium,25-34,Tambaram
Post_10,2023-01-01,tiktok,gaming,shorts,india,3898384,8634,69378,42700,low,25-34,Velachery
Post_11,2023-08-09,instagram,comedy,live stream,germany,4070332,379894,46012,25242,high,13-17,Anna Nagar
Post_12,2023-02-26,twitter,music,reel,australia,4585669,465871,69083,8999,medium,50+,Adyar
Post_13,2022-03-16,youtube,viral,shorts,canada,4105651,195560,37627,49089,high,35-50,T Nagar
Post_14,2022-11-08,youtube,fitness,reel,japan,1633015,312907,45774,30725,high,18-24,Tambaram
Post_15,2023-12-19,twitter,comedy,post,germany,2471790,370802,54110,17081,high,18-24,Adyar
Post_16,2022-04-05,youtube,gaming,live stream,canada,3079923,124237,44062,26702,medium,18-24,T Nagar
Post_17,2023-07-09,twitter,dance,reel,uk,294870,213142,20351,20767,low,25-34,T Nagar
Post_18,2022-09-17,tiktok,tech,shorts,uk,2051091,24472,54704,41737,medium,18-24,T Nagar
Post_19,2022-05-08,tiktok,fashion,post,usa,3461154,165335,50077,19505,low,18-24,T Nagar
Post_20,2023-04-24,youtube,education,tweet,uk,3143932,298685,84720,37162,low,18-24,Adyar
Post_21,2023-08-15,twitter,gaming,video,brazil,14095,268310,90495,16968,low,25-34,Tambaram
Post_22,2022-01-26,tiktok,viral,live stream,usa,3924406,35376,72832,3949,medium,13-17,T Nagar
Post_23,2023-08-02,youtube,dance,shorts,brazil,599766,223690,22531,10538,low,18-24,T Nagar
Post_24,2022-01-07,twitter,education,shorts,japan,4357851,449803,63438,28280,high,25-34,Adyar
Post_25,2023-07-19,youtube,dance,tweet,germany,731492,474649,98377,3654,high,25-34,Tambaram
Post_26,2022-09-08,youtube,dance,live stream,brazil,4910814,197287,53218,14896,low,35-50,Anna Nagar
Post_27,2023-05-14,instagram,gaming,video,india,4369260,212278,21264,18172,low,18-24,Anna Nagar
Post_28,2022-05-22,youtube,tech,post,canada,1874437,322601,35671,48768,medium,25-34,Adyar
Post_29,2023-09-30,instagram,gaming,live stream,canada,1653907,91836,77370,2823,low,25-34,Anna Nagar
Post_30,2023-10-23,youtube,education,shorts,japan,4683280,311330,3357,5110,medium,13-17,T Nagar
Post_31,2022-03-22,instagram,comedy,reel,australia,1365655,156164,84930,18303,low,25-34,OMR
Post_32,2022-03-10,twitter,music,video,usa,2342195,91944,89578,44440,medium,18-24,OMR
Post_33,2022-07-08,youtube,gaming,live stream,usa,4977438,8731,4500,46045,low,13-17,Adyar
Post_34,2022-11-11,youtube,viral,reel,australia,3005703,16688,77970,15891,low,50+,OMR
Post_35,2023-11-18,youtube,education,tweet,uk,936390,368646,92202,2016,low,50+,OMR
Post_36,2023-07-01,tiktok,education,live stream,japan,1855796,158156,6423,20518,high,25-34,Anna Nagar
Post_37,2022-06-09,instagram,music,reel,germany,48908,205884,37256,14618,low,18-24,Velachery
Post_38,2023-07-15,instagram,dance,video,india,1367820,10794,7617,36639,medium,13-17,T Nagar
Post_39,2022-09-28,tiktok,gaming,shorts,usa,4499253,469481,89583,41549,high,25-34,T Nagar
Post_40,2022-01-31,twitter,comedy,post,usa,4510477,274631,82143,13932,low,25-34,OMR
Post_41,2022-03-03,twitter,education,reel,india,4380015,355402,41860,42729,high,18-24,Porur
Post_42,2022-03-17,youtube,fashion,live stream,australia,943395,402996,18661,11999,high,25-34,Nungambakkam
Post_43,2022-09-10,twitter,comedy,post,brazil,3961278,49656,93072,23952,medium,13-17,OMR
Post_44,2023-10-23,youtube,comedy,shorts,brazil,4080112,171609,17994,41339,medium,50+,T Nagar
Post_45,2023-03-06,twitter,comedy,shorts,germany,3934142,380972,42858,26194,low,18-24,T Nagar
Post_46,2023-12-13,instagram,gaming,tweet,brazil,272327,274271,56073,17526,high,25-34,Tambaram
Post_47,2023-06-02,instagram,tech,reel,japan,1600237,325368,62818,25686,medium,18-24,Adyar
Post_48,2023-11-07,instagram,dance,live stream,india,2212857,74624,24137,35546,medium,18-24,Adyar
Post_49,2023-04-29,twitter,gaming,live stream,usa,4711157,313821,86074,36395,high,25-34,Tambaram
Post_50,2022-08-15,instagram,fashion,reel,japan,2747788,422463,21545,40997,low,18-24,OMR
Post_51,2022-05-23,youtube,dance,post,australia,2081426,225061,67840,28774,medium,50+,Tambaram
Post_52,2023-01-14,youtube,music,live stream,canada,2258494,159509,25505,8605,medium,35-50,T Nagar
Post_53,2022-11-06,youtube,comedy,tweet,japan,1357850,472399,90644,33331,low,50+,OMR
Post_54,2023-09-17,twitter,fitness,reel,canada,392337,332566,43169,45161,medium,35-50,Porur
Post_55,2023-01-13,twitter,dance,reel,usa,4006009,491965,60534,31438,high,25-34,Anna Nagar
Post_56,2023-08-25,youtube,fitness,tweet,australia,3934991,389693,81891,32967,medium,50+,OMR
Post_57,2022-06-30,instagram,challenge,live stream,australia,2824818,34126,53516,29452,low,13-17,Anna Nagar
Post_58,2022-10-30,twitter,dance,video,australia,197986,184395,9408,7599,medium,18-24,Nungambakkam
Post_59,2023-12-26,youtube,challenge,post,germany,2291491,474568,83894,6150,high,13-17,T Nagar
Post_60,2023-05-31,twitter,music,live stream,uk,3525573,40967,4121,26381,low,25-34,Adyar
Post_61,2023-04-21,tiktok,music,reel,usa,866896,122451,79602,25491,low,18-24,T Nagar
Post_62,2023-10-24,youtube,tech,video,australia,4104535,331535,60374,13314,medium,18-24,OMR
Post_63,2023-02-23,tiktok,dance,tweet,india,2601441,93254,55921,48758,low,25-34,T Nagar
Post_64,2023-12-05,instagram,gaming,shorts,canada,1142030,212596,72334,18,high,18-24,Anna Nagar
Post_65,2023-12-11,youtube,fashion,shorts,canada,2969591,358102,26688,8128,low,18-24,Velachery
Post_66,2022-11-03,tiktok,education,post,japan,855465,14117,73654,46422,high,18-24,Porur
Post_67,2023-05-26,youtube,viral,video,brazil,4453459,376054,36502,19620,high,18-24,Anna Nagar
Post_68,2023-06-10,twitter,dance,reel,japan,1059696,75851,99754,47614,high,35-50,T Nagar
Post_69,2022-01-20,twitter,fitness,tweet,usa,581577,341805,67524,485,high,18-24,Tambaram
Post_70,2022-02-05,youtube,fitness,tweet,australia,4226427,421149,53769,27804,medium,50+,Adyar
Post_71,2022-05-16,twitter,dance,reel,japan,485214,50577,92342,43775,medium,35-50,Porur
Post_72,2022-01-19,instagram,education,tweet,australia,1419701,68719,98115,36515,low,18-24,T Nagar
