video_id,title,channel_title,content_category,publish_country,published_day_of_week,views,likes,dislikes,comment_count,age_group,locality,platform
tEmodtG8NV0,I TOOK A COMPATIBILITY TEST w/ MY SOUL MATE!,Gabbie Hanna,howto & style,us,wednesday,1267850,72128,2858,8151,18-24,T Nagar,youtube
h5XzGyjEkkc,Dog Cries Every Time He's Touched â€” Until He Meets This Woman | The Dodo,The Dodo,pets & animals,us,thursday,4623012,92059,2133,14031,50+,Tambaram,youtube
Hzk1bM2vVFU,True Facts : Carnivorous Plants,zefrank1,people & blogs,us,monday,1104272,75756,627,5354,35-50,Nungambakkam,youtube
3iUfzN4RAB8,Every Pixar Movie Reviewed in 10 Words or Less!,JelloApocalypse,comedy,us,friday,1999896,40753,5422,7514,18-24,T Nagar,youtube
MIQKlHSD89E,Tiny Donkey Thinks He's Actually A Dog  | The Dodo,The Dodo,pets & animals,us,friday,1903668,66224,577,4155,18-24,Nungambakkam,youtube
Pa3ao2TVn1A,Andy Makes the Crispiest Saffron Rice Cake | From the Test Kitchen | Bon AppÃ©tit,Bon AppÃ©tit,howto & style,us,tuesday,147863,4030,115,374,18-24,Adyar,youtube
q20_MVdB31g,Snoke's Throne Room Fight - 16 Bit Scenes,Mr Sunday Movies,entertainment,us,friday,84672,6737,87,701,13-17,Anna Nagar,youtube
T2uyIBURMjs,Sonic Mania Adventures - Sneak Peek,Sonic the Hedgehog,gaming,us,friday,491659,24267,312,5039,35-50,T Nagar,youtube
ZwoDYJWWXW0,"Alan Walker, Keala Settle & The Greatest Showman Ensemble - This Is Me (Alan Walker Relift)",Alan Walker,music,us,friday,5540367,167164,4387,10668,25-34,Adyar,youtube
JXKb6xtqC3w,ADULTS REACT TO (AND MEET!) PENTATONIX,FBE,entertainment,us,saturday,1188770,53270,765,5402,25-34,Tambaram,youtube
Mhzmc7LRIGo,Opposite Twins Swap Lives for a Day!,Niki and Gabi,howto & style,us,wednesday,2265238,81742,2219,6942,13-17,OMR,youtube
5XUwdZkM6N8,MY FACE CHART RECREATION! | MILK1422,LustreLux,howto & style,us,friday,207302,10961,324,1072,50+,T Nagar,youtube
WeOwqu6gOPs,Last Workout Before the Victoria's Secret Fashion Show | Karlie Kloss,Klossy,people & blogs,us,monday,129902,6801,53,323,35-50,T Nagar,youtube
b_lULj6v804,"Benches clear twice between Yankees, Red Sox",MLB,sports,us,thursday,1052206,7354,383,3717,18-24,Velachery,youtube
mN4JWnTOSmg,Drake - Virginia Black commercial,The Sports King,people & blogs,us,sunday,27571,286,6,41,18-24,Anna Nagar,youtube
#NAME?,PAZ Mission,SpaceX,science & technology,us,thursday,1718285,39325,1141,2607,18-24,Anna Nagar,youtube
